Wavelength,Value,Boxcolor,Lightintensity
591.5,3.71E-01,blue,low
592,3.64E-01,blue,low
592.5,3.57E-01,blue,low
593,3.53E-01,blue,low
593.5,3.47E-01,blue,low
594,3.41E-01,blue,low
594.5,3.35E-01,blue,low
595,3.30E-01,blue,low
595.5,3.25E-01,blue,low
596,3.20E-01,blue,low
596.5,3.15E-01,blue,low
597,3.11E-01,blue,low
597.5,3.07E-01,blue,low
598,3.03E-01,blue,low
598.5,3.00E-01,blue,low
599,2.96E-01,blue,low
599.5,2.93E-01,blue,low
600,2.90E-01,blue,low
600.5,2.88E-01,blue,low
601,2.86E-01,blue,low
601.5,2.83E-01,blue,low
602,2.82E-01,blue,low
602.5,2.80E-01,blue,low
603,2.78E-01,blue,low
603.5,2.77E-01,blue,low
604,2.76E-01,blue,low
604.5,2.75E-01,blue,low
605,2.74E-01,blue,low
605.5,2.73E-01,blue,low
606,2.74E-01,blue,low
606.5,2.74E-01,blue,low
607,2.73E-01,blue,low
607.5,2.73E-01,blue,low
608,2.73E-01,blue,low
608.5,2.74E-01,blue,low
609,2.74E-01,blue,low
609.5,2.76E-01,blue,low
610,2.77E-01,blue,low
610.5,2.79E-01,blue,low
611,2.81E-01,blue,low
611.5,2.81E-01,blue,low
612,2.80E-01,blue,low
612.5,2.79E-01,blue,low
613,2.78E-01,blue,low
613.5,2.76E-01,blue,low
614,2.75E-01,blue,low
614.5,2.74E-01,blue,low
615,2.72E-01,blue,low
615.5,2.71E-01,blue,low
616,2.69E-01,blue,low
616.5,2.67E-01,blue,low
617,2.66E-01,blue,low
617.5,2.64E-01,blue,low
618,2.62E-01,blue,low
618.5,2.59E-01,blue,low
619,2.57E-01,blue,low
619.5,2.55E-01,blue,low
620,2.52E-01,blue,low
620.5,2.49E-01,blue,low
621,2.46E-01,blue,low
621.5,2.43E-01,blue,low
622,2.40E-01,blue,low
622.5,2.36E-01,blue,low
623,2.33E-01,blue,low
623.5,2.30E-01,blue,low
624,2.26E-01,blue,low
624.5,2.22E-01,blue,low
625,2.18E-01,blue,low
625.5,2.13E-01,blue,low
626,2.09E-01,blue,low
626.5,2.04E-01,blue,low
627,2.01E-01,blue,low
627.5,1.97E-01,blue,low
628,1.93E-01,blue,low
628.5,1.89E-01,blue,low
629,1.85E-01,blue,low
629.5,1.80E-01,blue,low
630,1.76E-01,blue,low
630.5,1.72E-01,blue,low
631,1.67E-01,blue,low
631.5,1.63E-01,blue,low
632,1.59E-01,blue,low
632.5,1.55E-01,blue,low
633,1.50E-01,blue,low
633.5,1.46E-01,blue,low
634,1.43E-01,blue,low
634.5,1.38E-01,blue,low
635,1.34E-01,blue,low
635.5,1.31E-01,blue,low
636,1.27E-01,blue,low
636.5,1.24E-01,blue,low
637,1.21E-01,blue,low
637.5,1.18E-01,blue,low
638,1.14E-01,blue,low
638.5,1.11E-01,blue,low
639,1.09E-01,blue,low
639.5,1.05E-01,blue,low
640,1.03E-01,blue,low
640.5,1.00E-01,blue,low
641,9.67E-02,blue,low
641.5,9.44E-02,blue,low
642,9.17E-02,blue,low
642.5,8.90E-02,blue,low
643,8.66E-02,blue,low
643.5,8.44E-02,blue,low
644,8.20E-02,blue,low
644.5,8.03E-02,blue,low
645,7.85E-02,blue,low
645.5,7.71E-02,blue,low
646,7.54E-02,blue,low
646.5,7.37E-02,blue,low
647,7.25E-02,blue,low
647.5,7.15E-02,blue,low
648,7.01E-02,blue,low
648.5,6.87E-02,blue,low
649,6.78E-02,blue,low
649.5,6.68E-02,blue,low
650,6.67E-02,blue,low
650.5,6.60E-02,blue,low
651,6.51E-02,blue,low
651.5,6.45E-02,blue,low
652,6.42E-02,blue,low
652.5,6.40E-02,blue,low
653,6.38E-02,blue,low
653.5,6.39E-02,blue,low
654,6.36E-02,blue,low
654.5,6.36E-02,blue,low
655,6.37E-02,blue,low
655.5,6.41E-02,blue,low
656,6.49E-02,blue,low
656.5,6.51E-02,blue,low
657,6.55E-02,blue,low
657.5,6.61E-02,blue,low
658,6.66E-02,blue,low
658.5,6.76E-02,blue,low
659,6.80E-02,blue,low
659.5,6.84E-02,blue,low
660,6.92E-02,blue,low
660.5,7.05E-02,blue,low
661,7.18E-02,blue,low
661.5,7.29E-02,blue,low
662,7.42E-02,blue,low
662.5,7.48E-02,blue,low
663,7.57E-02,blue,low
663.5,7.69E-02,blue,low
664,7.79E-02,blue,low
664.5,7.86E-02,blue,low
665,7.96E-02,blue,low
665.5,8.03E-02,blue,low
666,8.12E-02,blue,low
666.5,8.22E-02,blue,low
667,8.33E-02,blue,low
667.5,8.40E-02,blue,low
668,8.51E-02,blue,low
668.5,8.55E-02,blue,low
669,8.64E-02,blue,low
669.5,8.70E-02,blue,low
670,8.77E-02,blue,low
670.5,8.82E-02,blue,low
671,8.92E-02,blue,low
671.5,8.95E-02,blue,low
672,8.94E-02,blue,low
672.5,8.99E-02,blue,low
673,8.94E-02,blue,low
673.5,9.03E-02,blue,low
674,9.00E-02,blue,low
674.5,8.97E-02,blue,low
675,8.94E-02,blue,low
675.5,8.88E-02,blue,low
676,8.82E-02,blue,low
676.5,8.78E-02,blue,low
677,8.71E-02,blue,low
677.5,8.71E-02,blue,low
678,8.66E-02,blue,low
678.5,8.62E-02,blue,low
679,8.57E-02,blue,low
679.5,8.51E-02,blue,low
680,8.44E-02,blue,low
680.5,8.39E-02,blue,low
681,8.31E-02,blue,low
